epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,644.959,0.68714,1.06745,0.88604,0.87243,0.8,0.80182,0.61066,0.72952,1.22039,0.92307,0.0005348,0.0005348,0.0005348
76,654.068,0.70564,0.85293,0.98672,0.87878,0.8,0.79788,0.60534,0.72932,1.24009,0.92546,0.000515,0.000515,0.000515
77,663.567,0.67594,0.83835,0.93525,0.876,0.8,0.79675,0.6122,0.76115,1.22379,0.92565,0.0004952,0.0004952,0.0004952
78,672.86,0.64156,0.94422,0.94072,0.88031,0.8,0.7968,0.61126,0.78517,1.2222,0.93049,0.0004754,0.0004754,0.0004754
79,681.676,0.65196,0.8858,0.92601,0.88872,0.8,0.80043,0.59493,0.78386,1.20485,0.932,0.0004556,0.0004556,0.0004556
80,690.527,0.63217,0.88688,0.89871,0.88872,0.8,0.80043,0.59493,0.78386,1.20485,0.932,0.0004358,0.0004358,0.0004358
81,698.851,0.62344,0.85319,0.9247,0.88382,0.8,0.8068,0.60699,0.78488,1.16108,0.9247,0.000416,0.000416,0.000416
82,707.278,0.67784,0.88815,0.96248,0.8767,0.8,0.80562,0.60784,0.80263,1.14482,0.92979,0.0003962,0.0003962,0.0003962
83,715.517,0.66149,0.87322,0.94745,0.88603,0.8,0.80712,0.61978,0.79902,1.14689,0.92768,0.0003764,0.0003764,0.0003764
84,723.913,0.58896,0.77697,0.93847,0.88824,0.8,0.8109,0.61149,0.80772,1.1526,0.93258,0.0003566,0.0003566,0.0003566
85,732.187,0.68983,0.87828,0.92095,0.88875,0.8,0.81326,0.6238,0.77629,1.10374,0.92234,0.0003368,0.0003368,0.0003368
86,740.408,0.54903,0.73457,0.90319,0.88873,0.79878,0.82061,0.62887,0.73901,1.07356,0.90877,0.000317,0.000317,0.000317
87,748.746,0.58622,0.77143,0.91771,0.88861,0.7978,0.82503,0.63078,0.72328,1.06599,0.89685,0.0002972,0.0002972,0.0002972
88,756.974,0.63331,0.81393,0.93789,0.88861,0.7978,0.82503,0.63078,0.72328,1.06599,0.89685,0.0002774,0.0002774,0.0002774
89,766.317,0.62189,0.83258,0.92867,0.88852,0.7971,0.83004,0.63893,0.71395,1.04982,0.89014,0.0002576,0.0002576,0.0002576
90,775.056,0.59461,0.8305,0.91607,0.88852,0.79709,0.83122,0.63876,0.6998,1.02501,0.88638,0.0002378,0.0002378,0.0002378
91,784.77,0.54549,0.91625,0.92148,0.88847,0.79676,0.83828,0.63114,0.68238,1.00616,0.88515,0.000218,0.000218,0.000218
92,793.836,0.53946,0.88274,0.88895,0.83548,0.84664,0.8426,0.62914,0.66687,0.9934,0.88446,0.0001982,0.0001982,0.0001982
93,802.801,0.51554,0.8763,0.87416,0.83786,0.86667,0.8524,0.65303,0.6546,0.9741,0.88351,0.0001784,0.0001784,0.0001784
94,811.634,0.49835,0.85952,0.85952,0.84451,0.86667,0.85912,0.65779,0.65609,0.96453,0.88347,0.0001586,0.0001586,0.0001586
95,820.436,0.47972,0.84519,0.90005,0.86595,0.83333,0.86316,0.6585,0.65724,0.96252,0.88321,0.0001388,0.0001388,0.0001388
96,828.669,0.48551,0.81178,0.85878,0.86595,0.83333,0.86316,0.6585,0.65724,0.96252,0.88321,0.000119,0.000119,0.000119
97,837.029,0.46851,0.83623,0.85792,0.86241,0.83579,0.86207,0.65188,0.65651,0.96165,0.88324,9.92e-05,9.92e-05,9.92e-05
98,845.415,0.5098,0.85496,0.84913,0.87503,0.83333,0.86289,0.65431,0.65696,0.96446,0.88171,7.94e-05,7.94e-05,7.94e-05
99,853.461,0.48993,0.86093,0.91724,0.89241,0.82954,0.86284,0.65579,0.65348,0.96584,0.88039,5.96e-05,5.96e-05,5.96e-05
100,861.617,0.44851,0.80545,0.87331,0.89249,0.83024,0.86778,0.66006,0.64998,0.96272,0.87936,3.98e-05,3.98e-05,3.98e-05
